Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Teri Baaton Mein Aisa Uljha Jiya,6.2, (54K),2h 21m,Sci-Fi
Another End,6.5, (701),2h 9m,Sci-Fi
War of the Worlds: Extinction,3.0, (170),1h 24m,Sci-Fi
The Last Ronin,4.9, (218),2h 1m,Sci-Fi
Blink,7.0, (1.5K),2h 16m,Sci-Fi
Black,7.1, (2.7K),1h 55m,Sci-Fi
Can I Get a Witness,6.8, (60),1h 50m,Sci-Fi
Lesbian Space Princess,8.1, (95),1h 27m,Sci-Fi
Peripheral,9.4, (22),1h 28m,Sci-Fi
Black Eyed Susan,5.0, (303),1h 25m,Sci-Fi
Futra Days,4.2, (136),1h 39m,Sci-Fi
Desert Road,6.7, (154),1h 30m,Sci-Fi
U Are the Universe,7.8, (228),1h 30m,Sci-Fi
Escape from the 21st Century,6.5, (800),1h 38m,Sci-Fi
UI,6.9, (5.6K),2h 15m,Sci-Fi
Planet B,5.4, (138),1h 58m,Sci-Fi
All the Lost Ones,3.8, (225),1h 45m,Sci-Fi
"Canadian, Sniper",3.5, (346),1h 23m,Sci-Fi
Alien Country,4.4, (347),1h 36m,Sci-Fi
Staycation,7.2, (100),1h 34m,Sci-Fi
The Invisibles,5.9, (450),1h 51m,Sci-Fi
Bionic,4.3, (1.7K),1h 50m,Sci-Fi
Raduaa Returns,5.4, (64),2h 17m,Sci-Fi
Tim Travers & the Time Travelers Paradox,6.9, (273),1h 35m,Sci-Fi
Bade Miyan Chote Miyan,3.8, (39K),2h 43m,Sci-Fi
Meanwhile on Earth,6.0, (866),1h 29m,Sci-Fi
Bureau 749,4.1, (497),2h 3m,Sci-Fi
Light,2.7, (1.2K),1h 33m,Sci-Fi
40 Acres,6.4, (97),1h 53m,Sci-Fi
The Bunker,7.1, (41),1h 32m,Sci-Fi
Psychonaut,7.6, (12),1h 27m,Sci-Fi
Unexposed,7.6, (61),1h 3m,Sci-Fi
Cora,4.7, (786),1h 40m,Sci-Fi
S.T.A.L.K.E.R.: Shadow of the Zone,5.2, (446),1h 12m,Sci-Fi
Somnium,8.6, (38),1h 32m,Sci-Fi
Tacoma,3.5, (166),1h 43m,Sci-Fi
Balestra,5.1, (503),2h 25m,Sci-Fi
Mummy Shark,2.0, (165),1h 6m,Sci-Fi
Remnant,2.7, (312),1h 52m,Sci-Fi
Else,6.1, (223),1h 40m,Sci-Fi
Going Viral,6.8, (49),1h 30m,Sci-Fi
Lumina,2.1, (620),1h 53m,Sci-Fi
Sci-Fi Vixens from Beyond,4.1, (43),1h 14m,Sci-Fi
Ayalaan,6.0, (3.9K),2h 35m,Sci-Fi
How to Solve Your Own Murder,7.7, (37),1h 39m,Sci-Fi
Taklee Genesis x Worlds Collide,5.5, (381),2h 26m,Sci-Fi
The Alien Report,4.6, (150),1h 21m,Sci-Fi
Bury Your Dead,5.4, (75),2h 8m,Sci-Fi
Replicator,4.2, (98),1h 15m,Sci-Fi
The Strange Dark,9.1, (36),1h 24m,Sci-Fi
www.RachelOrmont.com,3.4, (31),1h 20m,Sci-Fi
Space Sharks,1.5, (311),1h 10m,Sci-Fi
Good Neighbours,3.2, (158),1h 24m,Sci-Fi
No Time to Spy: A Loud House Movie,6.4, (432),1h 21m,Sci-Fi
Guy Manley: Super Spy,4.5, (115),1h 32m,Sci-Fi
Infinite Summer,5.4, (83),1h 26m,Sci-Fi
Mobile Suit Gundam SEED Freedom,6.6, (922),2h 4m,Sci-Fi
The Phantom Warrior,2.4, (552),1h 59m,Sci-Fi
Clone Cops,8.1, (185),1h 36m,Sci-Fi
Double Ismart,2.9, (2.1K),2h 36m,Sci-Fi
Anunnakiler,2.6, (424),1h 16m,Sci-Fi
Ape X Mecha Ape: New World Order,2.7, (127),1h 27m,Sci-Fi
Vampire Zombies... From Space!,7.6, (59),1h 38m,Sci-Fi
Invasión,3.7, (46),1h 31m,Sci-Fi
Aiden,2.6, (116),1h 14m,Sci-Fi
Space Command Redemption,4.5, (151),2h 2m,Sci-Fi
"Aire, Just Breathe",4.7, (185),1h 38m,Sci-Fi
UmroAyyar - A New Beginning,6.9, (669),2h 15m,Sci-Fi
You Are Not Alone,6.2, (60),1h 45m,Sci-Fi
THEDÆMON,6.9, (37),1h 27m,Sci-Fi
Planetquake,3.0, (280),1h 25m,Sci-Fi
Earthquake Underground,3.3, (188),1h 23m,Sci-Fi
Big City Greens the Movie: Spacecation,6.2, (528),TV-Y7,Sci-Fi
The Epidemic,5.8, (69),1h 35m,Sci-Fi
Oculus,6.0, (15),1h 53m,Sci-Fi
Buddy,3.8, (339),2h 17m,Sci-Fi
In Vitro,6.4, (113),1h 29m,Sci-Fi
Aftermath,5.4, (4.4K),1h 18m,Sci-Fi
Mutant,4.5, (58),1h 30m,Sci-Fi
Schirkoa: In Lies We Trust,5.6, (153),1h 43m,Sci-Fi
C'est le monde à l'envers !,5.3, (86),1h 54m,Sci-Fi
Neon Fear,6.1, (373),40m,Sci-Fi
Dead Dead Demon's Dededede Destruction,7.0, (135),2h,Sci-Fi
Offworld: Alien Planet,3.6, (111),1h 32m,Sci-Fi
Electric Child,6.3, (64),1h 58m,Sci-Fi
Red vs. Blue: Restoration,5.6, (135),1h 25m,Sci-Fi
Dragon Ball Z Kai,8.4, (65),1h 22m,Sci-Fi
Buying Time,6.6, (244),1h 24m,Sci-Fi
Saturn,7.3, (27),1h 40m,Sci-Fi
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Sci-Fi
Future Date,6.6, (120),1h 22m,Sci-Fi
Dark Fusion,8.5, (233),1h 30m,Sci-Fi
Vstretimsya vchera,6.4, (339),1h 19m,Sci-Fi
Alien Weekend,5.5, (119),1h 35m,Sci-Fi
Ghost Planet,4.8, (254),1h 25m,Sci-Fi
Jurassic Triangle,2.5, (276),1h 24m,Sci-Fi
Night of the Skinwalkers,2.5, (706),1h 34m,Sci-Fi
Justicia artificial,5.6, (400),1h 38m,Sci-Fi
Hinter dem Eisernen Horizont,7.6, (12),1h 28m,Sci-Fi
