Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Tim Travers & the Time Travelers Paradox,6.9, (273),1h 35m,Fantasy
Assassin's Guild,3.7, (108),1h 43m,Fantasy
Devil's Knight,5.3, (759),1h 30m,Fantasy
White Snake: Afloat,6.9, (426),2h 13m,Fantasy
Seven Cemeteries,4.4, (488),1h 24m,Fantasy
My Oni Girl,6.0, (1.7K),1h 52m,Fantasy
Spirit World,5.8, (55),1h 34m,Fantasy
School of Magical Animals 3,5.9, (294),1h 45m,Fantasy
Balestra,5.1, (503),2h 25m,Fantasy
Rita,5.8, (264),1h 47m,Fantasy
Dalia y el Libro Rojo,7.0, (31),1h 47m,Fantasy
Panda Bear in Africa,5.5, (307),1h 24m,Fantasy
Else,6.1, (223),1h 40m,Fantasy
The Keepers of the 5 Kingdoms,4.1, (211),1h 49m,Fantasy
The Yin Yang Master Zero,5.7, (256),1h 52m,Fantasy
"Love, Danielle",8.9, (38),1h 19m,Fantasy
Orang Ikan,6.5, (31),1h 23m,Fantasy
Sketch,8.3, (42),1h 32m,Fantasy
Witch Hunter,5.1, (21),1h 20m,Fantasy
Barroz: Guardian of Treasures,3.6, (933),2h 35m,Fantasy
Bremenskie muzykanty,4.6, (660),1h 55m,Fantasy
The Goat,6.0, (90),1h 40m,Fantasy
We Work for the Dead,6.7, (505),1h 24m,Fantasy
Once Upon a Christmas Wish,6.1, (311),1h 30m,Fantasy
The Sleeping Woman,5.2, (542),1h 50m,Fantasy
The Seductress from Hell,7.0, (14),1h 42m,Fantasy
The Phantom Warrior,2.4, (552),1h 59m,Fantasy
"Maya, donne-moi un titre",6.5, (46),1h 1m,Fantasy
The Casagrandes Movie,5.6, (650),1h 29m,Fantasy
Enchanting Christmas,6.4, (348),1h 31m,Fantasy
UmroAyyar - A New Beginning,6.9, (669),2h 15m,Fantasy
Last Song for You,7.3, (88),1h 50m,Fantasy
Heartsping : Teenieping of Love,7.2, (20),TV-Y,Fantasy
The Opera!,6.3, (27),1h 46m,Fantasy
Mayan,8.8, (128),1h 53m,Fantasy
Maya Puthagam,5.4, (424),2h 2m,Fantasy
Big City Greens the Movie: Spacecation,6.2, (528),TV-Y7,Fantasy
The Time Travel Hills,6.2, (66),1h 22m,Fantasy
The Epidemic,5.8, (69),1h 35m,Fantasy
My Future You,8.5, (44),1h 49m,Fantasy
Bhairadevi,8.8, (43),2h 14m,Fantasy
Schirkoa: In Lies We Trust,5.6, (153),1h 43m,Fantasy
Fidil Ghorm,7.8, (7),1h 26m,Fantasy
The Heartsmith,9.6, (42),1h 35m,Fantasy
Dongeng Sang Kancil,8.1, (76),1h 39m,Fantasy
Dead Dead Demon's Dededede Destruction,7.0, (135),2h,Fantasy
The Traveller,5.3, (199),2h 14m,Fantasy
Don Dukun,7.0, (48),1h 38m,Fantasy
Saint Young Men: Holy Men vs Demon Army,3.0, (13),1h 33m,Fantasy
Si Juki the Movie: Harta Pulau Monyet,6.0, (114),1h 47m,Fantasy
Spirit Riser,6.7, (33),1h 38m,Fantasy
Dragon Ball Z Kai,8.4, (65),1h 22m,Fantasy
The Slave and the Sorcerer,6.7, (37),1h 26m,Fantasy
All In,5.6, (83),1h 43m,Fantasy
Vertical,5.3, (111),1h 51m,Fantasy
"Don't Cry, Butterfly",6.4, (106),1h 37m,Fantasy
Hanami,6.8, (94),1h 36m,Fantasy
Bodegón con fantasmas,6.6, (146),1h 28m,Fantasy
Seven Seas Seven Hills,8.6, (85),1h 30m,Fantasy
Fragments of Us,8.3, (8),49m,Fantasy
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Fantasy
Nyctophobia,7.6, (1.8K),1h 30m,Fantasy
Intercambiadas,6.5, (50),1h 37m,Fantasy
The Proud Princess,7.1, (97),1h 24m,Fantasy
Dr. Sander's Sleep Cure,6.3, (566),1h 38m,Fantasy
Niko: Beyond the Northern Lights,6.3, (288),1h 26m,Fantasy
Letuchiy korabl,3.7, (287),1h 40m,Fantasy
Nonostante,6.0, (65),1h 33m,Fantasy
Domovyonok Kuzya,6.5, (800),1h 30m,Fantasy
The Fisherman,7.1, (41),1h 45m,Fantasy
SuperKlaus,4.3, (189),1h 28m,Fantasy
King Baby,7.0, (23),1h 28m,Fantasy
Aalan,6.3, (1.1K),2h 17m,Fantasy
The Vord,3.4, (63),1h 41m,Fantasy
Videotheque,6.1, (98),1h 52m,Fantasy
The Woods Are Real,2.4, (457),1h 20m,Fantasy
Letters at Christmas,3.7, (167),1h 24m,Fantasy
Princesa Adormecida,3.8, (152),1h 20m,Fantasy
A Song from the Dark,4.8, (2.2K),1h 45m,Fantasy
Empire Queen: The Golden Age of Magic,3.2, (204),2h 28m,Fantasy
The Sisters,4.7, (143),2h 2m,Fantasy
Baba Yaga spasaet Novyy god,4.4, (113),1h 39m,Fantasy
Fureru,6.4, (23),1h 47m,Fantasy
Oshi no Ko: The Final Act,7.7, (90),2h 9m,Fantasy
Princess Halle and the Jester,4.7, (59),1h 11m,Fantasy
Naag Bhoomi,5.7, (7),2h 10m,Fantasy
Hold Me Close,6.6, (9),1h 38m,Fantasy
Captain Avispa,5.8, (172),1h 36m,Fantasy
Malaikottai Vaaliban,6.0, (4.1K),2h 36m,Fantasy
White Cobra Diamond Fox vs the Golden Eye,5.2, (23),1h 30m,Fantasy
Sunce nikad vise,7.5, (20),1h 12m,Fantasy
Carol,8.3, (47),1h 55m,Fantasy
Ognivo,5.4, (211),1h 45m,Fantasy
Fuuto PI: Portrait of Kamen Rider Skull,7.5, (30),1h 22m,Fantasy
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9, (83),2h 18m,Fantasy
Kajolrekha,6.3, (169),2h 36m,Fantasy
River of Ghosts,3.0, (301),1h 42m,Fantasy
Vampire Genesis,4.4, (36),1h 45m,Fantasy
River Returns,6.8, (12),1h 49m,Fantasy
Maxxie LaWow: Drag Super-shero,8.9, (54),1h 54m,Fantasy
Un cuento de pescadores,7.2, (36),1h 43m,Fantasy
The Jester from Transylvania,4.8, (37),1h 42m,Fantasy
"Die Heinzels: Neue Mützen, Neue Mission",6.4, (62),1h 16m,Fantasy
Universal Groove,5.4, (169),1h 14m,Fantasy
Into the Mortal World,6.8, (137),1h 58m,Fantasy
Turma da Mônica Jovem: Reflexos do Medo,2.8, (256),1h 28m,Fantasy
Advent,7.5, (6),1h 59m,Fantasy
The Evil Fairy Queen,5.6, (45),1h 30m,Fantasy
