Movie Title,Movie Rating,Movie Votings,Movie Durations,Genres
Hola Frida,7.1, (20),1h 22m,Animation
Exorcism Chronicles: The Beginning,7.0, (62),1h 25m,Animation
Dongeng Sang Kancil,8.1, (76),1h 39m,Animation
Dead Dead Demon's Dededede Destruction,7.0, (135),2h,Animation
Si Juki the Movie: Harta Pulau Monyet,6.0, (114),1h 47m,Animation
Sanatorium Under the Sign of the Hourglass,5.2, (87),1h 15m,Animation
Dragon Ball Z Kai,8.4, (65),1h 22m,Animation
Kvitebjørn,5.9, (51),1h 25m,Animation
Goldbeak,4.9, (125),1h 34m,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Animation
The Proud Princess,7.1, (97),1h 24m,Animation
Niko: Beyond the Northern Lights,6.3, (288),1h 26m,Animation
Mariposas Negras,7.0, (44),1h 23m,Animation
SuperKlaus,4.3, (189),1h 28m,Animation
Mustafa,6.9, (73),1h 15m,Animation
Animal Tales of Christmas Magic,6.8, (50),1h 12m,Animation
Little Emma,5.7, (97),1h 46m,Animation
Peppa's Cinema Party,5.0, (152),1h 5m,Animation
Diplodocus,6.5, (157),1h 30m,Animation
The Big Trip 3: Race Around the World,5.8, (49),1h 25m,Animation
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (71),1h 10m,Animation
Fureru,6.4, (23),1h 47m,Animation
The Storm,6.1, (135),1h 42m,Animation
TWST: Things We Said Today,6.9, (43),1h 26m,Animation
Jon Vardar protiv Galaksijata,9.0, (59),1h 26m,Animation
Movie Given Hiiragi Mix.,7.5, (131),1h 10m,Animation
Captain Avispa,5.8, (172),1h 36m,Animation
Fuuto PI: Portrait of Kamen Rider Skull,7.5, (30),1h 22m,Animation
Appu,8.6, (181),1h 32m,Animation
Quo Vadis,6.6, (330),1h 30m,Animation
Rock Bottom,7.0, (37),1h 26m,Animation
Steal the Naughty List,6.7, (113),1h 30m,Animation
Il segreto di Liberato,7.3, (208),1h 30m,Animation
Maxxie LaWow: Drag Super-shero,8.9, (54),1h 54m,Animation
"Die Heinzels: Neue Mützen, Neue Mission",6.4, (62),1h 16m,Animation
Flavors of Iraq,8.1, (36),1h 35m,Animation
Masha i Medved v kino: Park chudes,7.0, (16),58m,Animation
Boonie Bears: Time Twist,6.1, (158),1h 45m,Animation
Luntik. Vozvrashchenie domoy,6.4, (73),TV-Y,Animation
Transformers: 40th Anniversary Event,7.2, (28),1h 36m,Animation
Into the Mortal World,6.8, (137),1h 58m,Animation
Kuramerukagari,5.8, (79),1h 1m,Animation
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8, (14),1h 30m,Animation
Tri kota. Zimnie kanikuly,6.3, (26),1h 5m,Animation
Zak & Wowo: The Legend of Lendarys,5.7, (85),1h 25m,Animation
Askepote,3.4, (79),1h 12m,Animation
Nothing Unusual,9.7, (11),1h 32m,Animation
Nie Xiaoqian,6.7, (14),1h 52m,Animation
Rocky and Bullwinkle,9.6, (10),1h 40m,Animation
Benjamin Bat,8.1, (28),1h 15m,Animation
Given 3: To the Sea,8.5, (6),1h 20m,Animation
"Silex and the City, le film",4.9, (47),1h 17m,Animation
The Umbrella Fairy,5.5, (48),1h 35m,Animation
Dikkie Dik en de Verdwenen Knuffel,7.2, (125),1h 2m,Animation
The Worlds Divide,8.0, (36),2h,Animation
Motu Patlu & The Rise of Zombies,6.6, (15),1h 14m,Animation
Dead Dead Demon's Dededede Destruction Zenpen,7.0, (136),2h,Animation
Norbert,6.7, (10),1h 15m,Animation
Meitantei Conan Bâsasu Kaitô Kiddo,6.2, (151),1h 21m,Animation
A Few Moments of Cheers,7.5, (23),1h 8m,Animation
Uma & Haggen: Mitos,7.4, (44),1h 34m,Animation
The Car Acrobatic Team Saga,8.0, (9),1h 52m,Animation
Inanimate Insanity II: The Movie,8.9, (224),1h 46m,Animation
Double Tuckerr,5.0, (1.2K),2h,Animation
Tobias and the Arcane Merchant,9.0, (42),2h 47m,Animation
